target,group,p_group,base,delta,lo95,hi95,lob,hib,ratio,mean_ret,n_avg,n_anchor
W60: 60일 +50%↑,prox52 Q5(상위20%),1.741414035029468,3.882400430350884,-2.140986395321417,-2.886703010397291,-1.4613844236163043,-3.3784001267889496,-0.9946781444805108,0.44854055275078425,2.846066757545198,675.9207920792079,101
W60: 60일 +50%↑,prox52 Q1(하위20%),7.899459443615159,3.882400430350884,4.017059013264275,2.870000237804132,5.3435420562869,2.32111246767874,6.328905307637371,2.034684362246792,-0.4923429441321321,676.6633663366337,101
W60: 60일 +50%↑,vol_cv Q5(상위20%),5.49014273441003,3.882400430350884,1.607742304059146,1.265932322284091,1.9603471937997374,1.0344330448311145,2.183487672932632,1.4141103765316247,-2.072256166314259,675.5148514851485,101
W60: 60일 +50%↑,vol_cv Q1(하위20%),2.179297111750446,3.882400430350884,-1.7031033186004385,-2.013008537140181,-1.337020615839568,-2.1400052329815233,-1.0727334410880311,0.5613272383532796,4.000442796322401,676.7029702970297,101
W60: 60일 +50%↑,price Q5(상위20%),2.1810988356311296,3.882400430350884,-1.701301594719755,-2.245002153499162,-1.169671940457545,-2.507285365159369,-0.9162596511171582,0.5617913130701992,0.9964590455755873,677.3366336633663,101
W60: 60일 +50%↑,price Q1(하위20%),6.9172439436589555,3.882400430350884,3.0348435133080747,2.303803029886458,3.756223896189319,1.897990589911044,4.189518635873657,1.781692555353902,4.105074996581578,675.8712871287129,101
W60: 60일 +50%↑,mcap Q5(상위20%),1.9773178278129881,3.882400430350884,-1.905082602537896,-2.529577256246779,-1.241744361803532,-2.8973627004495213,-0.9350269079178622,0.5093029076432185,3.0825376895336727,544.9702970297029,101
W60: 60일 +50%↑,mcap Q1(하위20%),6.6774974360146695,3.882400430350884,2.7950970056637865,2.159047601418108,3.4234851391957077,1.7942152679350691,3.795534144904724,1.7199404223770833,1.7086470985270146,544.6336633663366,101
W60: 60일 +50%↑,bm Q5(상위20%),2.6835154855943353,3.882400430350884,-1.1988849447565495,-1.6548026608755373,-0.7472827417229181,-1.9457938593635622,-0.5010219017314985,0.6912000793673424,3.7562443764654945,473.05940594059405,101
W60: 60일 +50%↑,bm Q1(하위20%),6.490694491879176,3.882400430350884,2.608294061528294,1.7259566968947047,3.54411146114127,1.229397741644044,4.064536607160837,1.6718251010735026,-1.1240270996216781,472.43564356435644,101
W60: 60일 +50%↑,roa Q5(상위20%),2.7261499371295757,3.882400430350884,-1.1562504932213087,-1.5756181261822289,-0.7600392573232883,-1.8234809375807113,-0.4893516500380747,0.7021815461943969,3.2664072730288445,497.5247524752475,101
W60: 60일 +50%↑,roa Q1(하위20%),9.992426605848816,3.882400430350884,6.110026175497932,4.495326488231261,7.736273452280455,3.460429376871402,8.592879909719983,2.573775370446711,1.8028689329728034,497.1188118811881,101
W60: 60일 +50%↑,rev_g Q5(상위20%),7.297778709487418,3.882400430350884,3.4153782791365352,2.1484081228648204,4.857582555973235,1.5117828014904344,5.6708507795831125,1.8797078870166566,5.477436457489409,398.5742574257426,101
W60: 60일 +50%↑,rev_g Q1(하위20%),4.689774224140632,3.882400430350884,0.8073737937897466,0.46230773028352384,1.1857913535191524,0.2772075244457289,1.4341732537435792,1.20795737283513,1.8360083768025968,397.8811881188119,101
W60: 60일 +50%↑,rev_acc Q5(상위20%),5.341554343059707,3.882400430350884,1.4591539127088236,0.7779445125631864,2.190293460214296,0.3987200648353128,2.630172324846818,1.3758380772116667,3.001229303539906,384.63366336633663,101
W60: 60일 +50%↑,rev_acc Q1(하위20%),5.243668828077488,3.882400430350884,1.3612683977266034,0.7883632232601884,1.9804062481267324,0.5386219297134089,2.367747993852166,1.3506254499367998,3.8629701061412316,384.54455445544556,101
