date,yr,f,sic
20250502,2025,lv63,-0.09875152469409555
20250502,2025,nh252,0.019642863878410712
20250502,2025,mom12,0.0872607470737502
20250502,2025,mom_1m,0.06991000415873927
20250502,2025,upratio63,0.060494515320053246
20250502,2025,max5,-0.10330421523304222
20250502,2025,fip,-0.009770629792917892
20250502,2025,size_amt,0.10165086019042806
20250602,2025,lv63,-0.11471670381186276
20250602,2025,nh252,-0.1793537333566934
20250602,2025,mom12,-0.1783112000812568
20250602,2025,mom_1m,0.06321491196199994
20250602,2025,upratio63,-0.11868974290617926
20250602,2025,max5,-0.10184709262153314
20250602,2025,fip,-0.1157966088931442
20250602,2025,size_amt,0.028285281116814717
20250701,2025,lv63,-0.08764618668505049
20250701,2025,nh252,-0.002190827348465816
20250701,2025,mom12,-0.010057905638473419
20250701,2025,mom_1m,0.07055759193545917
20250701,2025,upratio63,0.12598873291927484
20250701,2025,max5,-0.03705240973844877
20250701,2025,fip,-0.009960475820051778
20250701,2025,size_amt,0.08773020578577811
20250730,2025,lv63,0.004187957997427845
20250730,2025,nh252,-0.00619505495727119
20250730,2025,mom12,-0.03230569857678509
20250730,2025,mom_1m,-0.0077448288093418015
20250730,2025,upratio63,0.010726629280825762
20250730,2025,max5,0.006171754010955586
20250730,2025,fip,-0.07917580087730614
20250730,2025,size_amt,-0.058979886856049574
20250827,2025,lv63,-0.015013066984347368
20250827,2025,nh252,0.1475786689444891
20250827,2025,mom12,0.18890395997036094
20250827,2025,mom_1m,0.09881024226319184
20250827,2025,upratio63,0.10681825920381802
20250827,2025,max5,0.013227369049095813
20250827,2025,fip,0.019258870682516995
20250827,2025,size_amt,0.01854724752610005
20250925,2025,lv63,-0.014767664504540463
20250925,2025,nh252,0.05429407024521008
20250925,2025,mom12,-0.027918177162202424
20250925,2025,mom_1m,0.07077122969255562
20250925,2025,upratio63,0.09370875757647405
20250925,2025,max5,-0.02374863738041275
20250925,2025,fip,-0.013815899343543162
20250925,2025,size_amt,0.11930143191747099
20251023,2025,lv63,0.38419851993052667
20251023,2025,nh252,0.2853865021825146
20251023,2025,mom12,0.06518445315600008
20251023,2025,mom_1m,0.03166618771893735
20251023,2025,upratio63,0.15204110734423196
20251023,2025,max5,0.32503822100974206
20251023,2025,fip,-0.004390853880652911
20251023,2025,size_amt,0.010687187940893877
20251120,2025,lv63,-0.2244327850889815
20251120,2025,nh252,-0.16957477931816722
20251120,2025,mom12,-0.005651291135299527
20251120,2025,mom_1m,-0.09665001532325887
20251120,2025,upratio63,-0.020552280929521462
20251120,2025,max5,-0.14305831730084845
20251120,2025,fip,-0.007303051746525599
20251120,2025,size_amt,0.04126456546587522
20251219,2025,lv63,-0.02861872470996849
20251219,2025,nh252,0.05331587671395941
20251219,2025,mom12,0.08536684969276166
20251219,2025,mom_1m,0.08172843483051888
20251219,2025,upratio63,0.07960281788887516
20251219,2025,max5,-0.06915781557893481
20251219,2025,fip,0.040684109661596926
20251219,2025,size_amt,0.044337927159455705
20260121,2026,lv63,0.2916520545662428
20260121,2026,nh252,0.3399984047132959
20260121,2026,mom12,0.1319390352178401
20260121,2026,mom_1m,0.11783310777964363
20260121,2026,upratio63,0.21893115467798965
20260121,2026,max5,0.1692155792007442
20260121,2026,fip,0.018353147081138353
20260121,2026,size_amt,0.03870477651837658
20260219,2026,lv63,0.12754537634537336
20260219,2026,nh252,0.08973040936171955
20260219,2026,mom12,0.0042889104539519315
20260219,2026,mom_1m,0.03723765361338587
20260219,2026,upratio63,-0.012463133283544417
20260219,2026,max5,0.1397099915298103
20260219,2026,fip,-2.5509632652120696e-05
20260219,2026,size_amt,-0.009002698443030142
20260319,2026,lv63,-0.22746962201420334
20260319,2026,nh252,-0.1946872926990091
20260319,2026,mom12,0.18484955327201302
20260319,2026,mom_1m,-0.25125550876663477
20260319,2026,upratio63,-0.06982431689303685
20260319,2026,max5,-0.1053646978837277
20260319,2026,fip,-0.023185213432327594
20260319,2026,size_amt,-0.04604052022659037
20260417,2026,lv63,0.09668004171777354
20260417,2026,nh252,0.1975844853863424
20260417,2026,mom12,0.1486635872509965
20260417,2026,mom_1m,-0.007027816458956844
20260417,2026,upratio63,0.20496852228892187
20260417,2026,max5,0.08120760725903049
20260417,2026,fip,0.10553964130178918
20260417,2026,size_amt,0.0017232757363020857
20260515,2026,lv63,-0.03014846546267674
20260515,2026,nh252,-0.04736799631182322
20260515,2026,mom12,-0.05873166659240126
20260515,2026,mom_1m,-0.042970542242806796
20260515,2026,upratio63,-0.029559316216799955
20260515,2026,max5,-0.04688780511015025
20260515,2026,fip,-0.0678198411452006
20260515,2026,size_amt,0.07299378090531669
